"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 10:59:47 UTC 2026","Thu May 14 10:59:47 UTC 2026","71","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IdA4_1431_Login","IDA4_1431_Login_Verify that Terms & Conditions and privacy policy link navigates to respective pages ","Verify language drop down on login page"
"passed","Thu May 14 10:59:54 UTC 2026","Thu May 14 10:59:54 UTC 2026","67","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IDA4_1432_Login","IDA4_1432_Login_Verify language drop down on login page","Verify language drop down on login page"
"passed","Thu May 14 10:59:40 UTC 2026","Thu May 14 10:59:40 UTC 2026","69","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IDA4_1421_Login","IDA4_1421_Login_Verify if a user will be able to login with a valid username and valid password","Verify if a user will be able to login with a valid username and valid password"
"passed","Thu May 14 10:58:51 UTC 2026","Thu May 14 10:59:34 UTC 2026","43073","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IDA4_1420_Login","IDA4_1420_Login_Verify that user can navigate to Login screen","Verify that user can navigate to Login screen"
