"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 07:30:59 UTC 2026","Fri May 15 07:31:09 UTC 2026","10412","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.ChatPageTest","com.intelehealth.tests.ChatPageTest","IDA4_1826_Chat","IDA4_1826_Verify chat option visibility","Verify chat option visibility"
"passed","Fri May 15 07:32:30 UTC 2026","Fri May 15 07:32:44 UTC 2026","13972","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.ChatPageTest","com.intelehealth.tests.ChatPageTest","IDA4_1833_Chat","IDA4_1833_Verify whether HW able to click on the PN when doctor send a chat msg","Verify whether HW able to click on the PN when doctor send a chat msg"
"passed","Fri May 15 07:32:57 UTC 2026","Fri May 15 07:33:11 UTC 2026","13712","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.ChatPageTest","com.intelehealth.tests.ChatPageTest","IDA4_1834_Chat","IDA4_1834_Verify whether healthworker able to reply to doctor message/Check the sent message from doctor by logging into mobile","Verify whether healthworker able to reply to doctor message/Check the sent message from doctor by logging into mobile"
"passed","Fri May 15 07:32:05 UTC 2026","Fri May 15 07:32:19 UTC 2026","14294","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.ChatPageTest","com.intelehealth.tests.ChatPageTest","IDA4_1830_Chat","IDA4_1830_Verify sending message in chat","Verify sending message in chat"
"passed","Fri May 15 07:31:21 UTC 2026","Fri May 15 07:31:53 UTC 2026","32301","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.ChatPageTest","com.intelehealth.tests.ChatPageTest","IDA4_1828_Chat","IDA4_1828_Verify chat option functionality in visit summary page","Verify chat option visibility"
