"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 06:40:10 UTC 2026","Fri May 15 06:40:53 UTC 2026","43187","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IDA4_1420_Login","IDA4_1420_Login_Verify that user can navigate to Login screen","Verify that user can navigate to Login screen"
"passed","Fri May 15 06:41:08 UTC 2026","Fri May 15 06:41:08 UTC 2026","70","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IdA4_1431_Login","IDA4_1431_Login_Verify that Terms & Conditions and privacy policy link navigates to respective pages ","Verify language drop down on login page"
"passed","Fri May 15 06:41:15 UTC 2026","Fri May 15 06:41:15 UTC 2026","72","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IDA4_1432_Login","IDA4_1432_Login_Verify language drop down on login page","Verify language drop down on login page"
"passed","Fri May 15 06:41:00 UTC 2026","Fri May 15 06:41:00 UTC 2026","78","intelehealth Web App Regression Test Suite","Regression Functional Regression Test","com.intelehealth.tests.LoginPageTest","com.intelehealth.tests.LoginPageTest","IDA4_1421_Login","IDA4_1421_Login_Verify if a user will be able to login with a valid username and valid password","Verify if a user will be able to login with a valid username and valid password"
